Feature,Importance
excess_mortality,0.8830345593318912
natl_ratio,0.03672587145909892
natl_total,0.03490411709349453
deaths_total_lag12,0.020491502070167113
cause_cerebro,0.01120704065695362
expected_deaths,0.004465190520789242
rolling_std_3,0.0021508994424050266
cause_cardio,0.0008454705424229222
deaths_total_lag1,0.0007684844571718819
cause_cancer,0.0005980841714726005
rolling_std_6,0.0005915585461090758
deaths_rolling3,0.0005789053610189874
deaths_diff1,0.0005302822793904657
month_sin,0.0005008352540271399
cause_pneumonia,0.0003945303463914595
diff2,0.00034022828399868485
month,0.00026572268093191554
month_cos,0.00025961713233213263
is_summer,0.0001409898489923741
season_summer,0.00013261227126898855
ratio_65_69,0.00012390647752426925
year_sq,9.506781410423878e-05
is_winter,8.843208428881089e-05
season_winter,8.652562357954667e-05
year,8.337730835052232e-05
ratio_50_64,8.058178770764311e-05
ratio_70_plus,7.911130776224503e-05
ratio_25_49,7.559238592951403e-05
ratio_65_plus,6.719105910542126e-05
ratio_75_plus,6.319045757878161e-05
ratio_80_plus,6.251860735432181e-05
ratio_85_plus,4.348361134912381e-05
season_spring,4.289370607686465e-05
event_dummy,3.0075619066148346e-05
era_2010s,1.3679591685078105e-05
era_2000s,1.0646985086496569e-05
era_2020s,9.35978792342456e-06
summer_event,9.103861721544046e-06
winter_event,8.760173477877138e-06
